config_id,status,reason,k,feature_set,input_dim,seed,device,best_epoch,best_val_loss,final_train_loss,final_val_loss,num_train_traces,num_val_traces,num_test_traces,num_train_points,gmm_aic,gmm_bic,bic_candidates,checkpoint_path,curve_path,norm_params_path,gmm_params_path
deepseek-r1-distill-70b_A100_tp4,trained,,10,f2,2,42,cuda,499,0.7127225796381632,0.8153977990150452,0.7127225796381632,13,3,2,33088,350469.2832816432,350713.08413442137,"{""10"": {""aic"": 350469.2832816432, ""bic"": 350713.08413442137}, ""12"": {""aic"": 349026.6844463964, ""bic"": 349320.9268549218}, ""6"": {""aic"": 351013.9801472712, ""bic"": 351156.89788855496}, ""8"": {""aic"": 350572.5133231144, ""bic"": 350765.8726201454}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-70b_A100_tp4_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-70b_A100_tp4_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-70b_A100_tp4.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-70b_A100_tp4_k10.json
deepseek-r1-distill-70b_A100_tp8,trained,,10,f2,2,42,cuda,498,0.798202653725942,0.7220982760190964,0.8180574178695679,12,3,2,30264,337617.66606810316,337858.87977892626,"{""10"": {""aic"": 337617.66606810316, ""bic"": 337858.87977892626}, ""12"": {""aic"": 337348.24626016343, ""bic"": 337639.3662559844}, ""6"": {""aic"": 338098.4223811848, ""bic"": 338239.82352201216}, ""8"": {""aic"": 337803.1173246589, ""bic"": 337994.4247504841}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-70b_A100_tp8_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-70b_A100_tp8_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-70b_A100_tp8.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-70b_A100_tp8_k10.json
deepseek-r1-distill-70b_H100_tp4,trained,,10,f2,2,42,cuda,335,0.9771469980478287,0.873990209329696,0.9786466956138611,21,4,5,52858,653127.0503740456,653384.4359402434,"{""10"": {""aic"": 653127.0503740456, ""bic"": 653384.4359402434}, ""12"": {""aic"": 652942.9617576333, ""bic"": 653253.599509941}, ""6"": {""aic"": 653702.1828707398, ""bic"": 653853.0640647179}, ""8"": {""aic"": 653292.6291112436, ""bic"": 653496.7624913316}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-70b_H100_tp4_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-70b_H100_tp4_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-70b_H100_tp4.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-70b_H100_tp4_k10.json
deepseek-r1-distill-70b_H100_tp8,trained,,10,f2,2,42,cuda,460,0.7098002284765244,0.6726192505586714,0.7190901786088943,21,4,5,52480,635750.6256321066,636007.8030673915,"{""10"": {""aic"": 635750.6256321066, ""bic"": 636007.8030673915}, ""12"": {""aic"": 635185.1977513905, ""bic"": 635495.5843112172}, ""6"": {""aic"": 642488.8094399024, ""bic"": 642639.5686261039}, ""8"": {""aic"": 638415.0137456646, ""bic"": 638618.9820564078}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-70b_H100_tp8_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-70b_H100_tp8_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-70b_H100_tp8.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-70b_H100_tp8_k10.json
deepseek-r1-distill-8b_A100_tp1,trained,,10,f2,2,42,cuda,392,0.6562690536181132,0.673464039961497,0.6577809453010559,15,3,4,37633,295663.50340738276,295911.03686889977,"{""10"": {""aic"": 295663.50340738276, ""bic"": 295911.03686889977}, ""12"": {""aic"": 296318.3500899339, ""bic"": 296617.0973710751}, ""6"": {""aic"": 297415.0259172085, ""bic"": 297560.1317394771}, ""8"": {""aic"": 296342.816888488, ""bic"": 296539.1365303808}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-8b_A100_tp1_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-8b_A100_tp1_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-8b_A100_tp1.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-8b_A100_tp1_k10.json
deepseek-r1-distill-8b_A100_tp2,trained,,10,f2,2,42,cuda,492,1.0162054896354675,0.7833673724761376,1.0467376311620076,13,3,2,32605,275270.988985242,275514.36339220696,"{""10"": {""aic"": 275270.988985242, ""bic"": 275514.36339220696}, ""12"": {""aic"": 275195.7355166653, ""bic"": 275489.4632492093}, ""6"": {""aic"": 278440.5370947443, ""bic"": 278583.2048505513}, ""8"": {""aic"": 276496.1044850271, ""bic"": 276689.1255664131}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-8b_A100_tp2_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-8b_A100_tp2_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-8b_A100_tp2.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-8b_A100_tp2_k10.json
deepseek-r1-distill-8b_A100_tp4,trained,,10,f2,2,42,cuda,496,1.0264341831207275,0.9022970176660098,1.0267727971076965,13,3,2,32589,324979.44916405284,325222.8093365788,"{""10"": {""aic"": 324979.44916405284, ""bic"": 325222.8093365788}, ""12"": {""aic"": 324501.07761746884, ""bic"": 324794.7881705174}, ""6"": {""aic"": 325220.50669990527, ""bic"": 325363.166111386}, ""8"": {""aic"": 324857.9220669981, ""bic"": 325050.9318590014}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-8b_A100_tp4_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-8b_A100_tp4_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-8b_A100_tp4.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-8b_A100_tp4_k10.json
deepseek-r1-distill-8b_A100_tp8,trained,,10,f2,2,42,cuda,273,1.135694831609726,1.0239480462941257,1.1457997262477875,11,2,3,27511,290208.384303937,290446.83219884365,"{""10"": {""aic"": 290208.384303937, ""bic"": 290446.83219884365}, ""12"": {""aic"": 290269.81545038195, ""bic"": 290557.5973925106}, ""6"": {""aic"": 293263.6908193337, ""bic"": 293403.4706197962}, ""8"": {""aic"": 292107.08395681315, ""bic"": 292296.1978044977}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-8b_A100_tp8_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-8b_A100_tp8_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-8b_A100_tp8.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-8b_A100_tp8_k10.json
deepseek-r1-distill-8b_H100_tp1,trained,,10,f2,2,42,cuda,278,1.2351166605949402,0.8273617540087018,1.2548879384994507,21,4,5,52412,484831.84100168693,485088.98083638697,"{""10"": {""aic"": 484831.84100168693, ""bic"": 485088.98083638697}, ""12"": {""aic"": 484737.6622274118, ""bic"": 485048.00340722216}, ""6"": {""aic"": 485931.14833516633, ""bic"": 486081.8854796456}, ""8"": {""aic"": 485217.40535305534, ""bic"": 485421.343842645}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-8b_H100_tp1_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-8b_H100_tp1_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-8b_H100_tp1.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-8b_H100_tp1_k10.json
deepseek-r1-distill-8b_H100_tp2,trained,,10,f2,2,42,cuda,499,0.7276182174682617,0.7791651586691538,0.7276182174682617,21,4,5,52256,560564.8214162578,560821.8748061351,"{""10"": {""aic"": 560564.8214162578, ""bic"": 560821.8748061351}, ""12"": {""aic"": 560382.4585540786, ""bic"": 560692.6954039305}, ""6"": {""aic"": 560556.30743484, ""bic"": 560706.9939047681}, ""8"": {""aic"": 560342.5866259469, ""bic"": 560546.4565558496}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-8b_H100_tp2_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-8b_H100_tp2_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-8b_H100_tp2.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-8b_H100_tp2_k10.json
deepseek-r1-distill-8b_H100_tp4,trained,,10,f2,2,42,cuda,173,1.0639563351869583,1.058615505695343,1.0731507241725922,20,4,5,49699,551180.1370527442,551435.7355153877,"{""10"": {""aic"": 551180.1370527442, ""bic"": 551435.7355153877}, ""12"": {""aic"": 551093.6505827848, ""bic"": 551402.1314859753}, ""6"": {""aic"": 552060.2767680456, ""bic"": 552210.1103495953}, ""8"": {""aic"": 551405.3483015595, ""bic"": 551608.0643236561}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-8b_H100_tp4_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-8b_H100_tp4_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-8b_H100_tp4.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-8b_H100_tp4_k10.json
deepseek-r1-distill-8b_H100_tp8,trained,,10,f2,2,42,cuda,499,1.3266969323158264,0.9606474765709468,1.3266969323158264,21,4,5,52419,615605.7134737951,615862.8571813953,"{""10"": {""aic"": 615605.7134737951, ""bic"": 615862.8571813953}, ""12"": {""aic"": 615324.1081491162, ""bic"": 615634.4540031165}, ""6"": {""aic"": 617110.6698532066, ""bic"": 617261.4092680067}, ""8"": {""aic"": 616286.751837766, ""bic"": 616490.6933989662}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/deepseek-r1-distill-8b_H100_tp8_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/deepseek-r1-distill-8b_H100_tp8_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/deepseek-r1-distill-8b_H100_tp8.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/deepseek-r1-distill-8b_H100_tp8_k10.json
gpt-oss-120b_A100_tp4,trained,,10,f2,2,42,cuda,116,0.8403515815734863,0.9354500912484669,1.1446318179368973,21,4,5,28338,346283.59996084205,346522.90677007666,"{""10"": {""aic"": 346283.59996084205, ""bic"": 346522.90677007666}, ""12"": {""aic"": 344862.0347580366, ""bic"": 345150.85332090594}, ""6"": {""aic"": 381963.9954271376, ""bic"": 382104.2787291027}, ""8"": {""aic"": 357083.3373537893, ""bic"": 357273.1324093892}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/gpt-oss-120b_A100_tp4_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/gpt-oss-120b_A100_tp4_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/gpt-oss-120b_A100_tp4.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/gpt-oss-120b_A100_tp4_k10.json
gpt-oss-120b_A100_tp8,trained,,10,f2,2,42,cuda,76,1.4673054814338684,1.1431091044630324,1.6894660890102386,21,4,5,28580,390325.98559772223,390565.53900881525,"{""10"": {""aic"": 390325.98559772223, ""bic"": 390565.53900881525}, ""12"": {""aic"": 382984.8301599082, ""bic"": 383273.94634571014}, ""6"": {""aic"": 392810.85454438394, ""bic"": 392951.28240605915}, ""8"": {""aic"": 387943.8698695234, ""bic"": 388133.8605059075}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/gpt-oss-120b_A100_tp8_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/gpt-oss-120b_A100_tp8_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/gpt-oss-120b_A100_tp8.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/gpt-oss-120b_A100_tp8_k10.json
gpt-oss-120b_H100_tp4,trained,,10,f2,2,42,cuda,498,0.5204758159816265,0.5124813277451765,0.6287197358906269,21,4,5,28260,395812.1981818341,396051.425058865,"{""10"": {""aic"": 395812.1981818341, ""bic"": 396051.425058865}, ""12"": {""aic"": 394559.4649310872, ""bic"": 394848.1870240556}, ""6"": {""aic"": 404519.08852914587, ""bic"": 404659.3249743019}, ""8"": {""aic"": 398728.9726438333, ""bic"": 398918.7043049268}}",results/continuous_v1_gmm_bigru/k10_f2/checkpoints/gpt-oss-120b_H100_tp4_k10_f2_best.pt,results/continuous_v1_gmm_bigru/k10_f2/training_curves/gpt-oss-120b_H100_tp4_k10_f2.csv,results/continuous_v1_gmm_bigru/k10_f2/norm_params/gpt-oss-120b_H100_tp4.json,results/continuous_v1_gmm_bigru/k10_f2/gmms/gpt-oss-120b_H100_tp4_k10.json
